state,year,emissions_per_cap
vermont,2017,9.3
virginia,2017,12.5
washington,2017,10.7
west virginia,2017,49.9
wisconsin,2017,17.0
wyoming,2017,108.3
alabama,2018,23.0
alaska,2018,46.8
arizona,2018,13.1
arkansas,2018,23.5
california,2018,9.1
colorado,2018,15.8
connecticut,2018,10.5
delaware,2018,14.5
district of columbia,2018,4.1
florida,2018,11.4
georgia,2018,13.5
hawaii,2018,14.3
idaho,2018,10.9
illinois,2018,16.7
indiana,2018,28.2
iowa,2018,26.2
kansas,2018,21.6
kentucky,2018,27.5
louisiana,2018,41.8
maine,2018,11.0
maryland,2018,10.2
massachusetts,2018,9.3
michigan,2018,16.4
minnesota,2018,16.9
mississippi,2018,21.2
missouri,2018,20.4
montana,2018,29.4
nebraska,2018,27.2
nevada,2018,13.7
new hampshire,2018,10.5
new jersey,2018,11.8
new mexico,2018,21.9
new york,2018,9.0
north carolina,2018,12.0
north dakota,2018,78.0
ohio,2018,17.9
oklahoma,2018,25.0
oregon,2018,9.5
pennsylvania,2018,17.2
rhode island,2018,10.4
south carolina,2018,14.6
south dakota,2018,17.7
tennessee,2018,13.8
texas,2018,23.9
utah,2018,19.4
vermont,2018,9.4
virginia,2018,12.9
washington,2018,10.5
west virginia,2018,49.4
wisconsin,2018,17.4
wyoming,2018,110.3
alabama,2019,21.6
alaska,2019,46.7
arizona,2019,12.7
arkansas,2019,21.5
california,2019,9.1
colorado,2019,15.9
connecticut,2019,10.3
delaware,2019,13.9
district of columbia,2019,4.0
florida,2019,10.9
georgia,2019,12.8
hawaii,2019,14.5
idaho,2019,11.2
illinois,2019,16.1
indiana,2019,26.2
iowa,2019,24.5
kansas,2019,20.8
kentucky,2019,25.6
louisiana,2019,41.8
maine,2019,10.7
maryland,2019,9.4
massachusetts,2019,9.2
michigan,2019,15.9
minnesota,2019,16.3
mississippi,2019,21.0
missouri,2019,19.1
montana,2019,30.2
nebraska,2019,26.1
nevada,2019,13.5
new hampshire,2019,10.2
new jersey,2019,11.3
new mexico,2019,23.3
new york,2019,8.7
north carolina,2019,11.7
north dakota,2019,74.8
ohio,2019,16.8
oklahoma,2019,23.1
oregon,2019,9.9
pennsylvania,2019,17.1
rhode island,2019,9.8
south carolina,2019,13.5
south dakota,2019,18.0
tennessee,2019,13.5
texas,2019,23.6
utah,2019,19.2
vermont,2019,9.6
virginia,2019,12.5
washington,2019,11.1
west virginia,2019,47.6
wisconsin,2019,16.3
wyoming,2019,101.9
alabama,2020,19.6
alaska,2020,49.1
arizona,2020,11.2
arkansas,2020,18.2
california,2020,7.7
colorado,2020,13.8
connecticut,2020,9.4
delaware,2020,12.6
district of columbia,2020,3.6
florida,2020,9.6
georgia,2020,10.9
hawaii,2020,10.3
idaho,2020,10.5
illinois,2020,13.3
indiana,2020,22.7
iowa,2020,20.6
kansas,2020,19.7
kentucky,2020,22.4
louisiana,2020,39.4
maine,2020,9.9
maryland,2020,7.8
massachusetts,2020,7.5
michigan,2020,13.6
minnesota,2020,13.7
mississippi,2020,21.3
missouri,2020,17.7
montana,2020,24.2
nebraska,2020,23.7
nevada,2020,11.6
new hampshire,2020,9.0
new jersey,2020,9.0
new mexico,2020,21.3
new york,2020,7.1
north carolina,2020,10.2
north dakota,2020,69.6
ohio,2020,15.7
oklahoma,2020,21.3
oregon,2020,8.8
pennsylvania,2020,14.9
rhode island,2020,9.0
south carolina,2020,12.4
south dakota,2020,16.8
tennessee,2020,12.0
texas,2020,21.4
utah,2020,17.5
vermont,2020,8.4
virginia,2020,11.4
washington,2020,8.9
west virginia,2020,43.0
wisconsin,2020,14.8
wyoming,2020,96.2
alabama,2021,21.5
alaska,2021,53.0
arizona,2021,11.4
arkansas,2021,20.5
california,2021,8.3
colorado,2021,14.7
connecticut,2021,10.1
delaware,2021,12.9
district of columbia,2021,3.8
florida,2021,10.4
georgia,2021,11.5
hawaii,2021,12.0
idaho,2021,10.8
illinois,2021,14.5
indiana,2021,24.4
iowa,2021,22.9
kansas,2021,20.3
kentucky,2021,24.7
louisiana,2021,40.8
maine,2021,10.5
maryland,2021,8.5
massachusetts,2021,8.0
michigan,2021,14.7
minnesota,2021,14.6
mississippi,2021,21.4
missouri,2021,19.0
montana,2021,25.8
nebraska,2021,24.0
nevada,2021,12.5
new hampshire,2021,9.6
new jersey,2021,9.6
new mexico,2021,21.7
new york,2021,7.9
north carolina,2021,10.9
north dakota,2021,72.7
ohio,2021,16.5
oklahoma,2021,22.0
oregon,2021,9.1
pennsylvania,2021,16.4
rhode island,2021,9.7
south carolina,2021,13.4
south dakota,2021,16.9
tennessee,2021,13.3
texas,2021,22.4
utah,2021,18.6
vermont,2021,8.6
virginia,2021,11.3
washington,2021,9.5
west virginia,2021,49.5
wisconsin,2021,15.7
wyoming,2021,94.3
